Fecha;Interno;Km
03-07-2024;7023;233,87
03-07-2024;7024;255,56
03-07-2024;7040;205,3
03-07-2024;7071;119,37
03-07-2024;7079;175,69
03-07-2024;7080;261,76
03-07-2024;7100;257,51
03-07-2024;7101;230,9
03-07-2024;7102;123,66
03-07-2024;7103;226,3
03-07-2024;7104;67,58
03-07-2024;7105;196,96
03-07-2024;7106;247,7
03-07-2024;7107;240,22
03-07-2024;7108;281,48
03-07-2024;7110;196,09
03-07-2024;7111;235,33
03-07-2024;7112;202,77
03-07-2024;7114;43,79
03-07-2024;7115;231,49
03-07-2024;7116;219,92
03-07-2024;7117;274,47
03-07-2024;7118;184,67
03-07-2024;7119;277,58
03-07-2024;7120;173,21
03-07-2024;7121;252,81
03-07-2024;7122;218,23
03-07-2024;7123;194,45
03-07-2024;7124;156,58
03-07-2024;7125;92,3
03-07-2024;7130;238,01
03-07-2024;7131;221,94
03-07-2024;7132;169,74
03-07-2024;7133;240,64
03-07-2024;7134;257,22
03-07-2024;7135;244,44
03-07-2024;7136;209,18
03-07-2024;7137;224,5
03-07-2024;7138;230,35
04-07-2024;3001;243,47
04-07-2024;3002;268,93
04-07-2024;3004;266,17
04-07-2024;3005;276,93
04-07-2024;3006;275,73
04-07-2024;3007;187,61
04-07-2024;3008;160,06
04-07-2024;3009;235,19
04-07-2024;3011;222,41
04-07-2024;3012;240,58
04-07-2024;3014;201,47
04-07-2024;3015;208,73
04-07-2024;3097;208,37
04-07-2024;3098;208,87
04-07-2024;3099;294,15
04-07-2024;3100;268,12
04-07-2024;3101;282,39
04-07-2024;3102;269,32
04-07-2024;3103;142,96
04-07-2024;3104;278,67
04-07-2024;3105;267,06
04-07-2024;3106;219,11
04-07-2024;3107;225,74
04-07-2024;3108;247,95
04-07-2024;3109;243,27
04-07-2024;3110;267,45
04-07-2024;3111;202,33
04-07-2024;3112;235,76
04-07-2024;3113;26,35
04-07-2024;3114;214,68
04-07-2024;3115;270,74
04-07-2024;3116;295,1
04-07-2024;7015;206,5
04-07-2024;7016;90,32
04-07-2024;7017;238,09
04-07-2024;7018;237,65
04-07-2024;7019;236,05
04-07-2024;7020;53,38
04-07-2024;7021;224,67
04-07-2024;7022;240,07
04-07-2024;7023;217,85
04-07-2024;7024;188,33
04-07-2024;7040;161,46
04-07-2024;7071;203,4
04-07-2024;7079;251,68
04-07-2024;7080;227,43
04-07-2024;7100;269,36
04-07-2024;7101;164,23
04-07-2024;7102;225,29
04-07-2024;7103;225,27
04-07-2024;7104;226,69
04-07-2024;7105;256,69
04-07-2024;7106;297,13
04-07-2024;7107;217,78
04-07-2024;7108;215,76
04-07-2024;7110;246,4
04-07-2024;7111;194,22
04-07-2024;7112;262,72
04-07-2024;7114;259,9
04-07-2024;7115;220,43
04-07-2024;7116;207,96
04-07-2024;7117;270,15
04-07-2024;7118;230,4
04-07-2024;7119;240,3
04-07-2024;7120;229,95
04-07-2024;7121;272,97
04-07-2024;7122;240,6
04-07-2024;7123;151,41
04-07-2024;7124;187
04-07-2024;7125;221,8
04-07-2024;7130;235,5
04-07-2024;7131;241,33
04-07-2024;7132;156,91
04-07-2024;7133;292,96
04-07-2024;7134;276,72
04-07-2024;7135;174,35
04-07-2024;7136;251,95
04-07-2024;7137;285,32
04-07-2024;7138;159,34
