idinterno;odometro;patente;predio
7047;127476;SPZX77;PIE ANDINO
7048;141924;SPZX78;PIE ANDINO
7049;131584;SPZX79;PIE ANDINO
7050;144450;SPZX80;PIE ANDINO
7051;138189;SPZX81;PIE ANDINO
7052;145020;SPZX82;PIE ANDINO
7053;140371;SPZX83;PIE ANDINO
7054;142490;SPZX84;PIE ANDINO
7055;140109;SPZX85;PIE ANDINO
7056;131797;SPZX93;PIE ANDINO
7057;139158;SPZX95;PIE ANDINO
7058;145145;SPZX96;PIE ANDINO
7059;135318;SPZX98;PIE ANDINO
7060;99613;SPZY13;PIE ANDINO
7061;137432;SPZY15;PIE ANDINO
7062;134973;SPZY16;PIE ANDINO
7063;143886;SPZY18;PIE ANDINO
7064;137376;SPZY23;PIE ANDINO
7065;140686;SPZY24;PIE ANDINO
7066;143039;SPZY25;PIE ANDINO
7067;128529;SPZY27;PIE ANDINO
7068;137314;SPZY28;PIE ANDINO
7069;143770;SPZY31;PIE ANDINO
7070;128115;SPZY37;PIE ANDINO
7071;134041;SPZY41;JUANITA
7072;143416;SPZY42;PIE ANDINO
7073;137549;SPZY43;PIE ANDINO
7074;139822;SPZY44;PIE ANDINO
7075;143399;SPZY45;PIE ANDINO
7076;139439;SPZY48;PIE ANDINO
7077;137223;SPZY49;PIE ANDINO
7078;138825;SPZY50;PIE ANDINO
7079;135971;SPZY51;PIE ANDINO
7080;137787;SPZY53;PIE ANDINO
7081;134677;SPZY54;PIE ANDINO
7082;136478;SPZY55;PIE ANDINO
7083;144837;SPZY56;PIE ANDINO
7084;141827;SPZY57;PIE ANDINO
7085;139931;SPZY58;PIE ANDINO
7086;135239;SPZY59;PIE ANDINO
7087;138794;SPZY60;PIE ANDINO
7088;138905;SPZY61;PIE ANDINO
7089;105893;SPZY63;PIE ANDINO
7090;144632;SPZY64;PIE ANDINO
7091;141236;SPZY65;PIE ANDINO
7092;129128;SPZY66;PIE ANDINO
7093;136590;SPZY67;PIE ANDINO
7094;132582;SPZY68;JUANITA
7095;137204;SPZY69;PIE ANDINO
7096;134679;SPZY70;PIE ANDINO
7097;142687;SPZY71;PIE ANDINO
7098;136457;SPZY72;PIE ANDINO
7099;142442;SPZY75;PIE ANDINO
7100;155172;SPZY78;PIE ANDINO
7101;142508;SPZY79;PIE ANDINO
7102;141091;SPZY81;PIE ANDINO
7103;134524;SPZY85;PIE ANDINO
7104;139241;SPZY86;PIE ANDINO
7105;138405;SPZY87;PIE ANDINO
7106;136304;SRVH33;PIE ANDINO
7107;132220;SRVH40;PIE ANDINO
7108;127651;SRVJ10;JUANITA
7109;130102;SRVJ17;PIE ANDINO
7110;137473;SRVJ25;PIE ANDINO
7111;143894;SRVJ48;PIE ANDINO
7112;145776;SRVJ72;PIE ANDINO
7113;118771;SRVK25;PIE ANDINO
7114;131189;SRVK73;PIE ANDINO
7115;147654;SRVK82;PIE ANDINO
7116;145578;SRVL13;PIE ANDINO
7117;144180;SRVL29;PIE ANDINO
7118;133009;SRVL59;PIE ANDINO
7119;137341;SRVL70;PIE ANDINO
7120;120831;SRVL81;PIE ANDINO
7121;135000;SRVF74;JUANITA
7122;138236;SRVF76;JUANITA
7123;137208;SRVF79;JUANITA
7124;127009;SRVF81;JUANITA
7125;133938;SRVF83;JUANITA
7126;136950;SRVF84;JUANITA
7127;129525;SRVF90;JUANITA
7128;135157;SRVF96;JUANITA
7129;137715;SRVG10;JUANITA
7130;135785;SRVG25;JUANITA
7131;135312;SRVG32;JUANITA
7132;136366;SRVG44;JUANITA
7133;129704;SRVG48;JUANITA
7134;131386;SRVG49;JUANITA
7135;128857;SRVG53;JUANITA
7136;129884;SRVG65;JUANITA
7137;135955;SRVG68;JUANITA
7138;130817;SRVG70;JUANITA
7139;132900;SRVG76;JUANITA
7140;137366;SRVG77;JUANITA
