Fecha;Interno;Patente;SOH [%];Terminal
06-01-2025;3039;SKHG92;92;CONDELL
06-01-2025;3001;SJTD56;91;CONDELL
06-01-2025;3076;STHF45;91;CONDELL
06-01-2025;3051;SPZX58;92;CONDELL
06-01-2025;3006;SJTD63;90;CONDELL
06-01-2025;3007;SJTD64;91;CONDELL
06-01-2025;3081;STHF76;93;CONDELL
06-01-2025;3001;SJTD56;91;CONDELL
06-01-2025;3067;STHD47;92;CONDELL
06-01-2025;3065;STHD21;93;CONDELL
06-01-2025;3079;STHF62;93;CONDELL
06-01-2025;3075;STHF42;93;CONDELL
06-01-2025;3047;SPZX46;91;CONDELL
06-01-2025;3046;SPZX42;92;CONDELL
06-01-2025;3005;SJTD62;91;CONDELL
06-01-2025;3012;SKHF87;91;CONDELL
06-01-2025;3070;STHD72;92;CONDELL
06-01-2025;3049;SPZX55;91;CONDELL
06-01-2025;3020;SKHG39;91;CONDELL
06-01-2025;3022;SKHG42;91;CONDELL
06-01-2025;3039;SKHG92;92;CONDELL
06-01-2025;3033;SKHG79;91;CONDELL
06-01-2025;3042;SPZX34;91;CONDELL
06-01-2025;3014;SKHF92;91;CONDELL
06-01-2025;3010;SKHF49;92;CONDELL
06-01-2025;7165;SRVK11;92;JUANITA
06-01-2025;7189;STHF67;92;JUANITA
06-01-2025;7181;STHC57;93;JUANITA
06-01-2025;7168;SRVK90;92;JUANITA
06-01-2025;7173;SRVL24;92;JUANITA
06-01-2025;7130;SRVG25;92;JUANITA
06-01-2025;7154;SRVH45;93;JUANITA
06-01-2025;7172;SRVL21;92;JUANITA
06-01-2025;7156;SRVH73;93;JUANITA
06-01-2025;7164;SRVJ90;92;JUANITA
06-01-2025;7138;SRVG70;92;JUANITA
06-01-2025;7134;SRVG49;92;JUANITA
06-01-2025;7169;SRVK97;92;JUANITA
06-01-2025;7122;SRVF76;92;JUANITA
06-01-2025;7158;SRVJ39;92;JUANITA
06-01-2025;7145;SRVG91;92;JUANITA
06-01-2025;7183;STHD12;92;JUANITA
06-01-2025;7147;SRVG94;92;JUANITA
06-01-2025;7125;SRVF83;92;JUANITA
06-01-2025;7071;SPZY41;92;JUANITA
06-01-2025;3040;SKHG93;91;CONDELL
06-01-2025;3035;SKHG82;91;CONDELL
06-01-2025;3028;SKHG65;91;CONDELL
06-01-2025;3044;SPZX39;92;CONDELL
06-01-2025;3003;SJTD58;92;CONDELL
06-01-2025;7050;SPZX80;91;PIE ANDINO
06-01-2025;3018;SKHG33;94;CONDELL
06-01-2025;7090;SPZY64;91;PIE ANDINO
06-01-2025;7048;SPZX78;91;PIE ANDINO
06-01-2025;7119;SRVL70;92;PIE ANDINO
06-01-2025;3048;SPZX51;92;CONDELL
06-01-2025;7058;SPZX96;91;PIE ANDINO
06-01-2025;7101;SPZY79;92;PIE ANDINO
06-01-2025;7115;SRVK82;92;PIE ANDINO
06-01-2025;7102;SPZY81;92;PIE ANDINO
06-01-2025;7033;SPZX63;92;PIE ANDINO
06-01-2025;7049;SPZX79;91;PIE ANDINO
06-01-2025;7067;SPZY27;91;PIE ANDINO
06-01-2025;7063;SPZY18;92;PIE ANDINO
06-01-2025;7072;SPZY42;91;PIE ANDINO
06-01-2025;3031;SKHG73;91;CONDELL
06-01-2025;7041;SPZX71;92;PIE ANDINO
06-01-2025;3013;SKHF91;91;CONDELL
06-01-2025;7084;SPZY57;92;PIE ANDINO
06-01-2025;3050;SPZX56;92;CONDELL
06-01-2025;3026;SKHG59;90;CONDELL
06-01-2025;7104;SPZY86;93;PIE ANDINO
06-01-2025;7120;SRVL81;92;PIE ANDINO
06-01-2025;7042;SPZX72;92;PIE ANDINO
06-01-2025;3037;SKHG89;92;CONDELL
06-01-2025;7051;SPZX81;91;PIE ANDINO
06-01-2025;7027;SPZX48;91;PIE ANDINO
06-01-2025;3074;STHF35;92;CONDELL
06-01-2025;3036;SKHG85;91;CONDELL
06-01-2025;3038;SKHG90;92;CONDELL
06-01-2025;3034;SKHG80;91;CONDELL
06-01-2025;3071;STHF13;92;CONDELL
06-01-2025;3043;SPZX36;92;CONDELL
06-01-2025;3066;STHD35;92;CONDELL
06-01-2025;3069;STHD65;91;CONDELL
06-01-2025;3011;SKHF84;91;CONDELL
06-01-2025;3004;SJTD61;91;CONDELL
07-01-2025;7166;SRVK42;92;JUANITA
07-01-2025;7161;SRVJ64;94;JUANITA
07-01-2025;7185;STHD26;94;JUANITA
07-01-2025;7133;SRVG48;92;JUANITA
07-01-2025;7155;SRVH71;94;JUANITA
07-01-2025;7157;SRVJ34;92;JUANITA
07-01-2025;7141;SRVG81;91;JUANITA
07-01-2025;3029;SKHG69;91;CONDELL
07-01-2025;7025;SPZX43;92;JUANITA
07-01-2025;3019;SKHG37;91;CONDELL
07-01-2025;7153;SRVH22;92;JUANITA
07-01-2025;7182;STHC95;92;JUANITA
07-01-2025;7128;SRVF96;92;JUANITA
07-01-2025;7163;SRVJ82;92;JUANITA
07-01-2025;3072;STHF15;92;CONDELL
07-01-2025;7127;SRVF90;92;JUANITA
07-01-2025;7108;SRVJ10;92;JUANITA
07-01-2025;7151;SRVH13;92;JUANITA
07-01-2025;7167;SRVK61;92;JUANITA
07-01-2025;7184;STHD50;94;JUANITA
07-01-2025;7177;SRVL45;92;JUANITA
07-01-2025;7179;SRVL75;93;JUANITA
07-01-2025;3015;SKHG14;91;CONDELL
07-01-2025;3077;STHF49;92;CONDELL
07-01-2025;3021;SKHG40;91;CONDELL
07-01-2025;3032;SKHG74;91;CONDELL
07-01-2025;3024;SKHG55;90;CONDELL
07-01-2025;3068;STHD54;93;CONDELL
07-01-2025;3059;STHB50;91;CONDELL
07-01-2025;3027;SKHG62;91;CONDELL
07-01-2025;7124;SRVF81;92;JUANITA
07-01-2025;7194;;92;
07-01-2025;7126;SRVF84;92;JUANITA
07-01-2025;7136;SRVG65;92;JUANITA
07-01-2025;3045;SPZX41;91;CONDELL
07-01-2025;7139;SRVG76;92;JUANITA
07-01-2025;7123;SRVF79;92;JUANITA
07-01-2025;7160;SRVJ55;94;JUANITA
07-01-2025;7159;SRVJ43;94;JUANITA
07-01-2025;7180;SRVL78;92;JUANITA
07-01-2025;7028;SPZX52;92;JUANITA
07-01-2025;7161;SRVJ64;94;JUANITA
07-01-2025;7146;SRVG92;92;JUANITA
07-01-2025;7140;SRVG77;92;JUANITA
07-01-2025;7187;STHF56;93;JUANITA
07-01-2025;7186;STHF36;92;JUANITA
07-01-2025;7137;SRVG68;92;JUANITA
07-01-2025;7132;SRVG44;92;JUANITA
07-01-2025;7129;SRVG10;92;JUANITA
07-01-2025;3002;SJTD57;91;CONDELL
07-01-2025;3023;SKHG47;91;CONDELL
07-01-2025;7175;SRVL35;92;JUANITA
07-01-2025;7142;SRVG83;92;JUANITA
07-01-2025;7171;SRVL15;92;JUANITA
07-01-2025;7149;SRVH10;94;JUANITA
07-01-2025;7178;SRVL72;92;JUANITA
07-01-2025;7126;SRVF84;92;JUANITA
07-01-2025;7176;SRVL40;92;JUANITA
07-01-2025;3088;STHJ68;92;SANTA MARTA
07-01-2025;3106;STHK62;91;SANTA MARTA
07-01-2025;3104;STHK39;91;SANTA MARTA
07-01-2025;3060;STHB62;91;SANTA MARTA
07-01-2025;3126;STHR80;91;SANTA MARTA
07-01-2025;3054;STGZ85;92;SANTA MARTA
07-01-2025;3057;STHB29;91;SANTA MARTA
07-01-2025;3086;STHF88;93;SANTA MARTA
07-01-2025;3090;STHJ74;93;SANTA MARTA
07-01-2025;3062;STHC51;92;SANTA MARTA
